Xid,Name,Town,State,County,Suburb,Country,Postcode,Pedestrian,CountryCode,Neighbourhood,Rate,Osm,LonMin,LonMax,LatMin,LatMax,Wikidata,Kinds,Geometry,Otm,Wikipedia,Image,Source,Height,Width,Title,Text,Html,Lon,Lat
N122402545,St. Anthony of Padova Church,Arad,,Arad,,România,310122,,ro,,3h,node/122402545,0,0,0,0,Q1937504,"religion,churches,interesting_places,catholic_churches",osm,https://opentripmap.com/en/card/N122402545,https://ro.wikipedia.org/wiki/Biserica%20%E2%80%9ESf%C3%A2ntul%20Anton%20de%20Padova%E2%80%9D%20din%20Arad,https://commons.wikimedia.org/wiki/File:Arad%2C_biserica_Sf_Anton_de_Padova.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Arad%2C_biserica_Sf_Anton_de_Padova.jpg/400px-Arad%2C_biserica_Sf_Anton_de_Padova.jpg,258,400,ro:Biserica „Sfântul Anton de Padova” din Arad,"Biserica romano-catolică „Sfântul Anton de Padova” este un lăcaș de cult din orașul Arad. A fost ridicat între anii 1902-1904 de către arhitectul arădean Milan Tabacovici. A fost sfințită în anul 1911. Lăcașul de cult are elemente reprezentând stilurile clasicist, baroc și renascentist.Nava bisericii are o lungime de 43 metri, o lățime de 17 metri. Deasupra intrării se află o copie a statuii Pieta. Crucea de pe cupolă se află la o înălțime de 56 metri.","<p><b>Biserica romano-catolică „Sfântul Anton de Padova”</b> este un lăcaș de cult din orașul Arad. A fost ridicat între anii 1902-1904 de către arhitectul arădean Milan Tabacovici. A fost sfințită în anul 1911. Lăcașul de cult are elemente reprezentând stilurile clasicist, baroc și renascentist.</p><p>Nava bisericii are o lungime de 43 metri, o lățime de 17 metri. Deasupra intrării se află o copie a statuii Pieta. Crucea de pe cupolă se află la o înălțime de 56 metri.</p>",21.31566048,46.17243958
N1255157344,Stephen the Great Monument,Bălți,Municipiul Bălți,,,Moldova,,Piața Independenței,md,Centru,3h,node/1255157344,0,0,0,0,Q12735936,"historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",osm,https://opentripmap.com/en/card/N1255157344,https://ro.wikipedia.org/wiki/Monumentul%20lui%20%C8%98tefan%20cel%20Mare%20%C8%99i%20Sf%C3%A2nt%20din%20B%C4%83l%C8%9Bi,https://commons.wikimedia.org/wiki/File:Stefan_cel_Mare_din_B%C4%83l%C8%9Bi.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stefan_cel_Mare_din_B%C4%83l%C8%9Bi.JPG/300px-Stefan_cel_Mare_din_B%C4%83l%C8%9Bi.JPG,400,300,ro:Monumentul lui Ștefan cel Mare și Sfânt din Bălți,"Monumentul lui Ștefan cel Mare și Sfânt din Bălți, dezvelit la 22 mai 2004, se află pe Piața Independenței în fața clădirii Primăriei. Autorii monumentului sunt sculptorul Gheorghe Postovanu și arhitectul Vasile Eremciuc. Monumentul este lucrat din bronz, iar postamentul din piatră de Cosăuți. În 2008 monumentul lui Ștefan cel Mare și Sfânt a fost inclus în Registrul monumentelor ocrotite de stat.Monumentele din Bălți Pagina artistului Fotografia satelit","<p><b>Monumentul lui Ștefan cel Mare și Sfânt din Bălți</b>, dezvelit la 22 mai 2004, se află pe Piața Independenței în fața clădirii Primăriei. Autorii monumentului sunt sculptorul Gheorghe Postovanu și arhitectul Vasile Eremciuc. Monumentul este lucrat din bronz, iar postamentul din piatră de Cosăuți. În 2008 monumentul lui Ștefan cel Mare și Sfânt a fost inclus în Registrul monumentelor ocrotite de stat.</p><ul><li>Monumentele din Bălți</li> 
<li>Pagina artistului</li> 
<li>Fotografia satelit</li></ul>",27.92831421,47.76227951
N252228927,Water tower in Arad,Arad,,Arad,,România,310085,,ro,,3h,node/252228927,0,0,0,0,Q12742706,"towers,architecture,cultural,museums,interesting_places,other_museums,water_towers",osm,https://opentripmap.com/en/card/N252228927,https://ro.wikipedia.org/wiki/Turnul%20de%20ap%C4%83%20din%20Arad,https://commons.wikimedia.org/wiki/File:Turnul_de_ap%C4%83_din_Arad.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Turnul_de_ap%C4%83_din_Arad.jpg/266px-Turnul_de_ap%C4%83_din_Arad.jpg,400,266,ro:Turnul de apă din Arad,"Turnul de apă este o clădire din municipiul Arad, realizată de firma engleză Shone și Ault, firmă care a executat primul proiect de alimentare cu apă al Aradului.Turnul de apă are o capacitate de înmagazinare de 300 mc, o înălțime de 34 metri și a fost construit în anul 1895, pentru aprovizionarea cu apă a orașului și pentru semnalarea incendiilor, motiv pentru care a fost ridicat în vecinătatea cazărmii pompierilor. La momentul construirii, a fost cea mai înaltă clădire a orașului. Este o construcție masivă din piatră și cărămidă, care se remarcă prin decorația balcoanelor și a ferestrelor. Turnul a servit în sistemul de aprovizionarea cu apă al orașului până în anul 1956.","<p><b>Turnul de apă</b> este o clădire din municipiul Arad, realizată de firma engleză Shone și Ault, firmă care a executat primul proiect de alimentare cu apă al Aradului.</p><p>Turnul de apă are o capacitate de înmagazinare de 300 mc, o înălțime de 34 metri și a fost construit în anul 1895, pentru aprovizionarea cu apă a orașului și pentru semnalarea incendiilor, motiv pentru care a fost ridicat în vecinătatea cazărmii pompierilor. La momentul construirii, a fost cea mai înaltă clădire a orașului. Este o construcție masivă din piatră și cărămidă, care se remarcă prin decorația balcoanelor și a ferestrelor. Turnul a servit în sistemul de aprovizionarea cu apă al orașului până în anul 1956.</p>",21.30802917,46.16966248
N292275975,Rougemont Castle Gatehouse,Exeter,England,Devon,Newtown,United Kingdom,EX4 3PX,,gb,,3h,node/292275975,0,0,0,0,Q7370785,"fortifications,historic,interesting_places,castles",osm,https://opentripmap.com/en/card/N292275975,https://en.wikipedia.org/wiki/Rougemont%20Castle,https://commons.wikimedia.org/wiki/File:Rougemont_Castle_gatehouse%2C_2010_%28cropped%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Rougemont_Castle_gatehouse%2C_2010_%28cropped%29.jpg/400px-Rougemont_Castle_gatehouse%2C_2010_%28cropped%29.jpg,372,400,en:Rougemont Castle,"Rougemont Castle, also known as Exeter Castle, is the historic castle of the city of Exeter, Devon, England. It was built into the northern corner of the Roman city walls starting in or shortly after the year 1068, following Exeter's rebellion against William the Conqueror. In 1136 it was besieged for three months by King Stephen. An outer bailey, of which little now remains, was added later in the 12th century.","<p><b>Rougemont Castle</b>, also known as <b>Exeter Castle</b>, is the historic castle of the city of Exeter, Devon, England. It was built into the northern corner of the Roman city walls starting in or shortly after the year 1068, following Exeter's rebellion against William the Conqueror. In 1136 it was besieged for three months by King Stephen. An outer bailey, of which little now remains, was added later in the 12th century.</p>",-3.529766798,50.72585297
N294065211,Arco d'Augusto,Rimini,EMR,RN,,Italia,47921,,it,San Giovanni,3h,node/294065211,0,0,0,0,Q1072853,"architecture,historic_architecture,fortifications,defensive_walls,historic,monuments_and_memorials,interesting_places,monuments,triumphal_archs",osm,https://opentripmap.com/en/card/N294065211,https://en.wikipedia.org/wiki/Arch%20of%20Augustus%20%28Rimini%29,https://commons.wikimedia.org/wiki/File:Arco_d%27Augusto%2C_Rimini_Italy.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Arco_d%27Augusto%2C_Rimini_Italy.jpg/400px-Arco_d%27Augusto%2C_Rimini_Italy.jpg,295,400,en:Arch of Augustus (Rimini),"The Arch of Augustus is a gate in the former city wall of Rimini, Italy. The arch was dedicated to the Emperor Augustus by the Roman Senate in 27 BC and is one of the oldest Roman arches which survives to this day. It signaled the end of the via Flaminia, which connected the cities of Romagna to Rome, and spans the modern Corso d'Augusto (the ancient decumanus maximus), which led to the beginning of another road, the via Emilia, which ran northwest to Piacenza.","<p>The <b>Arch of Augustus</b> is a gate in the former city wall of Rimini, Italy. The arch was dedicated to the Emperor Augustus by the Roman Senate in 27 BC and is one of the oldest Roman arches which survives to this day. It signaled the end of the via Flaminia, which connected the cities of Romagna to Rome, and spans the modern Corso d'Augusto (the ancient <i>decumanus maximus</i>), which led to the beginning of another road, the via Emilia, which ran northwest to Piacenza.</p>",12.57115364,44.05690765
N3679776676,Monumentul lui Vasile Alecsandri,Bălți,Municipiul Bălți,,,Moldova,3110,Piața Vasile Alecsandri,md,Centru,3,node/3679776676,0,0,0,0,Q12735934,"historic,monuments_and_memorials,interesting_places,monuments",osm,https://opentripmap.com/en/card/N3679776676,https://ro.wikipedia.org/wiki/Monumentul%20lui%20Vasile%20Alecsandri%20din%20B%C4%83l%C8%9Bi,https://commons.wikimedia.org/wiki/File:Bustul_lui_Vasile_Alecsandri.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Bustul_lui_Vasile_Alecsandri.JPG/300px-Bustul_lui_Vasile_Alecsandri.JPG,400,300,ro:Monumentul lui Vasile Alecsandri din Bălți,"Bustul lui Vasile Alecsandri din Bălți se află pe Piața Vasile Alecsandri.Donație a Societății Culturale „Mihai Viteazul"" din Iași (România). Bustul din bronz este instalat pe soclul din piatră de Cosăuți. Se află în fața Teatrului Național „V. Alecsandri"".Monumentele din BălțiMonumentul Profanat","<p><b>Bustul lui Vasile Alecsandri</b> din Bălți se află pe Piața Vasile Alecsandri.</p><p>Donație a Societății Culturale „Mihai Viteazul"" din Iași (România). Bustul din bronz este instalat pe soclul din piatră de Cosăuți. Se află în fața Teatrului Național „V. Alecsandri"".</p><ul><li>Monumentele din Bălți</li></ul><ul><li>Monumentul Profanat</li></ul>",27.92610931,47.76009369
N7777455257,Statuia lui Ioan Nepomuk,Arad,,Arad,,România,310085,,ro,,3h,node/7777455257,0,0,0,0,Q18548114,"cultural,urban_environment,interesting_places,sculptures",osm,https://opentripmap.com/en/card/N7777455257,https://ro.wikipedia.org/wiki/Statuia%20lui%20Ioan%20Nepomuk%20din%20Arad,https://commons.wikimedia.org/wiki/File:Ioan_Nepomuk_Statue.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Ioan_Nepomuk_Statue.jpg/300px-Ioan_Nepomuk_Statue.jpg,400,300,ro:Statuia lui Ioan Nepomuk din Arad,Statuia Sfântului „Ioan Nepomuk” (în maghiară Nepomuki Szent János-szobor) este un monument dezvelit în anul 1729 la Arad. Statuia se află pe actualul amplasament din anul 1870. Monumentul a fost sculptat de către un artist necunoscut din Viena.Pe parcursul timpului statuia a stârnit aprige controverse legate de oportunitatea reamplasării ei în municipiul Arad.,"<p><b>Statuia Sfântului „Ioan Nepomuk”</b> (în maghiară <span lang=""hu"">Nepomuki Szent János-szobor</span>) este un monument dezvelit în anul 1729 la Arad. Statuia se află pe actualul amplasament din anul 1870. Monumentul a fost sculptat de către un artist necunoscut din Viena.</p><p>Pe parcursul timpului statuia a stârnit aprige controverse legate de oportunitatea reamplasării ei în municipiul Arad.</p>",21.30955505,46.17301178
N9042463091,Imaret,Kavala,Μακεδονία - Θράκη,Δήμος Καβάλας,Παναγία,Ελλάδα,65302,,gr,,3h,node/9042463091,0,0,0,0,Q31284476,"architecture,historic_architecture,interesting_places,restaurants,foods,tourist_facilities,other_buildings_and_structures",osm,https://opentripmap.com/en/card/N9042463091,https://el.wikipedia.org/wiki/%CE%99%CE%BC%CE%B1%CF%81%CE%AD%CF%84%20%CE%9A%CE%B1%CE%B2%CE%AC%CE%BB%CE%B1%CF%82,https://commons.wikimedia.org/wiki/File:%D0%98%D0%BC%D0%B0%D1%80%D0%B5%D1%82_%D0%B2_%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B0.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/%D0%98%D0%BC%D0%B0%D1%80%D0%B5%D1%82_%D0%B2_%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B0.jpg/400px-%D0%98%D0%BC%D0%B0%D1%80%D0%B5%D1%82_%D0%B2_%D0%9A%D0%B0%D0%B2%D0%B0%D0%BB%D0%B0.jpg,300,400,el:Ιμαρέτ Καβάλας,"Το Ιμαρέτ της Καβάλας βρίσκεται σε περίοπτη θέση εντός των τειχών της παλιάς πόλης της, στη χερσόνησο της Παναγίας. Το μέγεθός του είναι 4.200 τ.μ. Το μήκος του είναι περίπου 120 μέτρα. Το μνημείο, ένα αριστούργημα της ύστερης οθωμανικής αρχιτεκτονικής και σπάνιο δείγμα της στην Ευρώπη.Ιδρυτής του εαυγούς αυτού ιδρύματος είναι ο Μεχμέτ Αλι, γεννημένος στην Καβάλα και μετέπειτα Βαλής και Χεδίβης της Αιγύπτου έθεσε τις βάσεις του σύγχρονου αιγυπτιακού κράτους. Μετά την άδεια που πήρε από τον Σουλτάνο, έδωσε εντολή για την έναρξη της κατασκευής του ευαγούς ιδρύματος ως δώρο του στη γενέθλια πόλη του το 1813.","<p>Το <b>Ιμαρέτ της Καβάλας</b> βρίσκεται σε περίοπτη θέση εντός των τειχών της παλιάς πόλης της, στη χερσόνησο της Παναγίας. Το μέγεθός του είναι 4.200 τ.μ. Το μήκος του είναι περίπου 120 μέτρα. Το μνημείο, ένα αριστούργημα της ύστερης οθωμανικής αρχιτεκτονικής και σπάνιο δείγμα της στην Ευρώπη.</p><p>Ιδρυτής του εαυγούς αυτού ιδρύματος είναι ο Μεχμέτ Αλι, γεννημένος στην Καβάλα και μετέπειτα Βαλής και Χεδίβης της Αιγύπτου έθεσε τις βάσεις του σύγχρονου αιγυπτιακού κράτους. Μετά την άδεια που πήρε από τον Σουλτάνο, έδωσε εντολή για την έναρξη της κατασκευής του ευαγούς ιδρύματος ως δώρο του στη γενέθλια πόλη του το 1813.</p>",24.41382408,40.93302917
Q12723094,bust of Mihai Eminescu,Bălți,Municipiul Bălți,,,Moldova,MD-3121,,md,Centru,3,,0,0,0,0,Q12723094,"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",wikidata,https://opentripmap.com/en/card/Q12723094,https://ro.wikipedia.org/wiki/Bustul%20lui%20Mihai%20Eminescu%20din%20B%C4%83l%C8%9Bi,https://commons.wikimedia.org/wiki/File:Monument_M.Eminescu%2C_Bl.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Monument_M.Eminescu%2C_Bl.JPG/400px-Monument_M.Eminescu%2C_Bl.JPG,300,400,ro:Bustul lui Mihai Eminescu din Bălți,"Bustul lui Mihai Eminescu din Bălți instalat pe un postament se află în curtea Liceului ""Mihai Eminescu"".Aleea Clasicilor din BălțiMonumentele din Bălți","<p><b>Bustul lui Mihai Eminescu</b> din Bălți instalat pe un postament se află în curtea Liceului ""Mihai Eminescu"".</p><ul><li>Aleea Clasicilor din Bălți</li></ul><ul><li>Monumentele din Bălți</li></ul>",27.92099953,47.75899887
Q20433230,Edificiu pentru funcții cultural-sociale,Bălți,Municipiul Bălți,,,Moldova,MD-3121,,md,Teioasa,3h,,0,0,0,0,Q20433230,"historic_architecture,architecture,interesting_places,manor_houses",wikidata,https://opentripmap.com/en/card/Q20433230,https://ro.wikipedia.org/wiki/Edificiu%20pentru%20func%C8%9Bii%20cultural-sociale%20%28monument%20din%20B%C4%83l%C8%9Bi%29,https://commons.wikimedia.org/wiki/File:Po%C8%99ta%2C_Centru_BL.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Po%C8%99ta%2C_Centru_BL.jpg/400px-Po%C8%99ta%2C_Centru_BL.jpg,300,400,ro:Edificiu pentru funcții cultural-sociale (monument din Bălți),"„Edificiu pentru funcții cultural-sociale” este numele dat unui monument de arhitectură din Bălți, Republica Moldova de importanță națională. Localul a fost construit la sfârșitul secolului al XIX-lea. A fost o locuință urbană, construită în stil modern, cu aliniere la linia roșie a străzii, cu o grădină în spatele casei. Modernul se observă în ornamentul de pe pereți, în desenul grilajului forjat. Forma simplă a localului este modificată de către pridvor, care-i redă compoziției un colorit viu. Geamurile sunt de diferite forme și mărimi.","<p><b>„Edificiu pentru funcții cultural-sociale”</b> este numele dat unui monument de arhitectură din Bălți, Republica Moldova de importanță națională. Localul a fost construit la sfârșitul secolului al XIX-lea. A fost o locuință urbană, construită în stil modern, cu aliniere la linia roșie a străzii, cu o grădină în spatele casei. Modernul se observă în ornamentul de pe pereți, în desenul grilajului forjat. Forma simplă a localului este modificată de către pridvor, care-i redă compoziției un colorit viu. Geamurile sunt de diferite forme și mărimi.</p>",27.92277718,47.76055527
