City,Name,PropertyType,PlaceType,PricePerDay,Pet,Bathroom,Bedroom,Bed,AirConditioning,Dryer,Heating,Iron,Kitchen,Tv,Washer,WiFi
Magnitogorsk,Bronx 167th Grand ConCourse,Hotel,PrivateRoom,16,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Krasnodar,Bottom bunk bed in shared space,Apartment,SharedRoom,17,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Rome,Top bunk bed in SharedRoom- ,Apartment,SharedRoom,18,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Antwerp,Cozy room for travelers,Hotel,PrivateRoom,20,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Bucharest,Art filled bedroom in a safe space apartment,Hotel,PrivateRoom,20,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Glasgow,Sunset House,House,PrivateRoom,20,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Kraków,The place,Hotel,PrivateRoom,20,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Oradea,"SunCity Room near Prospect Park, 35mins to City",Hotel,PrivateRoom,20,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Šiauliai,Minimalistic PrivateRoom w twin bed in the Bronx,Hotel,PrivateRoom,20,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Oradea,SharedRoom in City,Apartment,SharedRoom,22,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
Plovdiv,Your home away from home...,House,PrivateRoom,22,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Ivano-Frankivsk,Room in Washington Heights,Hotel,PrivateRoom,23,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Reykjavík,"30 mins from City, Clean room in Queens",Apartment,SharedRoom,23,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Milan,Big Bedroom in City Railroad Apartment,Hotel,PrivateRoom,24,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Sabetta,Cute room for girls,Hotel,PrivateRoom,24,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Zaporizhia,Room in quiet City home,Hotel,PrivateRoom,24,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Banja Luka,Wildlife Loft Living room adventure,Apartment,SharedRoom,25,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Bucharest,SharedRoom For Cool Low Maintenance People #6,Apartment,SharedRoom,25,FALSE,1,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Bucharest,SharedRoom For Cool Low Maintenance People #2,Apartment,SharedRoom,25,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Constanţa,"Bed-stuy, City Private Bedroom",Hotel,PrivateRoom,25,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Cuneo,"Spacious Living Room, Quiet Neighborhood",Apartment,SharedRoom,25,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Exeter,Large Clean Safe Private Bedroom by Lehman College,Hotel,PrivateRoom,25,FALSE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Karlovy Vary,Large PrivateRoom w/ 2 built-in closets,House,PrivateRoom,25,FALSE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Krasnodar,Area in Queens ™ªCozy Room,House,PrivateRoom,25,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Luhansk,"SunCity, Spacious, PrivateRoom Close to Train!",Hotel,PrivateRoom,25,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Nikolayev,BEDROOM PRIVATE COMFY NEAR 6 TRAIN NO CURFEW,House,PrivateRoom,25,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Oradea,"SharedRoom in the heart of Bushwick/J, M, L train",Hotel,PrivateRoom,25,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
Plovdiv,BEAUTIFUL SUNCity ROOM!,Hotel,PrivateRoom,25,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Prishtina,Nice Spacious Room for a Month,Apartment,SharedRoom,25,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Reykjavík,Kosher Basement Apt. for men in Crown Heights,Hotel,PrivateRoom,25,FALSE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Sármellék,"SunCity, spacious  City apt - solo ",Apartment,SharedRoom,25,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Uzhhorod,"Bedroom, in a cozy full apartment in Harlem!",Hotel,PrivateRoom,25,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Vilnius,Easy access to City : Nice Condition room,House,PrivateRoom,25,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Volgograd,†SunCityside†-Locals' favorite neighbor for living-,House,PrivateRoom,25,FALSE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Bergamo,5Subway take you to City Large room with sofa,House,PrivateRoom,26,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Bucharest,Cozy bedroom off J Train,Hotel,PrivateRoom,26,TRUE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Dnipropetrovsk,City Blue Room,Hotel,PrivateRoom,26,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Kiev,1br in near LGA in JACKSON HEIGHTS QUEENS,Hotel,PrivateRoom,26,FALSE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Mostar,Guest bedroom in the lower level of a house.,House,PrivateRoom,26,TRUE,0,1,1,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Almería,Room w/ private entrance at convenient location.,Hotel,PrivateRoom,27,TRUE,1,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Birmingham,Private Top Specious room in Hollis.,House,PrivateRoom,27,TRUE,0,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Kharkiv,Lovely City Retreat,Hotel,PrivateRoom,27,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Moscow,PrivateRoom for Cool Low Maintenance Person #3,Hotel,PrivateRoom,27,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Mostar,Private cozy room with queen size bed in Hollis.,House,PrivateRoom,27,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
Paris,Cozy Private Bedroom in Bushwick,Hotel,PrivateRoom,27,FALSE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
Rivne,PrivateRoom in prime Bushwick- 20mins to the city,Hotel,PrivateRoom,27,TRUE,0,1,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
Târgu Mureş,Couch to crash for JFK Layover Guest,House,SharedRoom,27,FALSE,1,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Valletta,Spacious furnished bedroom in Bushwick,Hotel,PrivateRoom,27,TRUE,0,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
