Name,City,Country
Villanova D'Albenga International Airport,Albenga (SV),Italy
Alicante International Airport,Alicante,Spain
Almería International Airport,Almería,Spain
Antwerp International Airport,Antwerp,Belgium
Arad International Airport,Arad,Romania
Athens International Airport Eleftherios Venizelos,Athens,Greece
Bălți International Airport,Bălți,Moldova
Banja Luka International Airport,Banja Luka,Bosnia and Herzegovina
Barcelona–El Prat Airport,Barcelona,Spain
Belfast International Airport,Belfast,United Kingdom
Belgorod International Airport,Belgorod,Russia
Il Caravaggio International Airport,Bergamo,Italy
Birmingham International Airport,Birmingham,United Kingdom
Blackpool International Airport,Blackpool,United Kingdom
Băneasa International Airport,Bucharest,Romania
Bucharest Henri Coandă International Airport,Bucharest,Romania
Budapest Liszt Ferenc International Airport,Budapest,Hungary
Cahul International Airport,Cahul,Moldova
Cardiff International Airport,Cardiff,United Kingdom
Cherkasy International Airport,Cherkasy,Ukraine
Chernivtsi International Airport,Chernivtsi,Ukraine
Chişinău International Airport,Chişinău,Moldova
Cluj-Napoca International Airport,Cluj-Napoca,Romania
Mihail Kogălniceanu International Airport,Constanţa,Romania
Región de Murcia International Airport,Corvera,Spain
Cuneo International Airport,Cuneo,Italy
Debrecen International Airport,Debrecen,Hungary
Dnipropetrovsk International Airport,Dnipropetrovsk,Ukraine
Exeter International Airport,Exeter,United Kingdom
Geneva Airport,Geneva,Switzerland
Glasgow International Airport,Glasgow,United Kingdom
Győr-Pér International Airport,Győr,Hungary
Heraklion International Nikos Kazantzakis Airport,Heraklion,Greece
Ivano-Frankivsk International Airport,Ivano-Frankivsk,Ukraine
Karlovy Vary International Airport,Karlovy Vary,Czechia
Katowice International Airport,Katowice,Poland
Kaunas International Airport,Kaunas,Lithuania
Alexander the Great International Airport,Kavala,Greece
Kazan International Airport,Kazan,Russia
Ioannis Kapodistrias International Airport,Kerkyra Island,Greece
Kharkiv International Airport,Kharkiv,Ukraine
Kherson International Airport,Kherson,Ukraine
Boryspil International Airport,Kiev,Ukraine
Kiev Zhuliany International Airport,Kiev,Ukraine
Kraków John Paul II International Airport,Kraków,Poland
Krasnodar Pashkovsky International Airport,Krasnodar,Russia
Kryvyi Rih International Airport,Kryvyi Rih,Ukraine
Liepāja International Airport,Liepāja,Latvia
Luhansk International Airport,Luhansk,Ukraine
Luxembourg-Findel International Airport,Luxembourg,Luxembourg
Lviv International Airport,Lviv,Ukraine
Magnitogorsk International Airport,Magnitogorsk,Russia
Mărculeşti International Airport,Mărculeşti,Moldova
Mariupol International Airport,Mariupol,Ukraine
Malpensa International Airport,Milan,Italy
Domodedovo International Airport,Moscow,Russia
Ostafyevo International Airport,Moscow,Russia
Sheremetyevo International Airport,Moscow,Russia
Vnukovo International Airport,Moscow,Russia
Zhukovsky International Airport,Moscow,Russia
Mostar International Airport,Mostar,Bosnia and Herzegovina
Mytilene International Airport,Mytilene,Greece
Naples International Airport,Nápoli,Italy
Mykolaiv International Airport,Nikolayev,Ukraine
Nizhny Novgorod Strigino International Airport,Nizhny Novgorod,Russia
Norwich International Airport,Norwich,United Kingdom
Odessa International Airport,Odessa,Ukraine
Oradea International Airport,Oradea,Romania
Ostend-Bruges International Airport,Ostend,Belgium
Palanga International Airport,Palanga,Lithuania
Paris-Charles de Gaulle Airport,Paris,France
Pescara International Airport,Pescara,Italy
Pisa International Airport,Pisa,Italy
Plovdiv International Airport,Plovdiv,Bulgaria
Priština International Airport,Prishtina,Kosovo
Keflavik International Airport,Reykjavík,Iceland
Riga International Airport,Riga,Latvia
Federico Fellini International Airport,Rimini,Italy
Rivne International Airport,Rivne,Ukraine
Rome–Ciampino International Airport G. B. Pastine,Rome,Italy
Platov International Airport,Rostov-on-Don,Russia
Sabetta International Airport,Sabetta,Russia
Kurumoch International Airport,Samara,Russia
Sarajevo International Airport,Sarajevo,Bosnia and Herzegovina
Sármellék International Airport,Sármellék,Hungary
Šiauliai International Airport,Šiauliai,Lithuania
Sibiu International Airport,Sibiu,Romania
Simferopol International Airport,Simferopol,Ukraine
Sochi International Airport,Sochi,Russia
Chania International Airport,Souda,Greece
Transilvania Târgu Mureş International Airport,Târgu Mureş,Romania
Ternopil International Airport,Ternopil,Ukraine
Thessaloniki Macedonia International Airport,Thessaloniki,Greece
Tirana International Airport Mother Teresa,Tirana,Albania
Tuzla International Airport,Tuzla,Bosnia and Herzegovina
Ufa International Airport,Ufa,Russia
Uzhhorod International Airport,Uzhhorod,Ukraine
Malta International Airport,Valletta,Malta
Ventspils International Airport,Ventspils,Latvia
Vienna International Airport,Vienna,Austria
Vilnius International Airport,Vilnius,Lithuania
Volgograd International Airport,Volgograd,Russia
Voronezh International Airport,Voronezh,Russia
Zakynthos International Airport Dionysios Solomos,Zakynthos Island,Greece
Zaporizhzhia International Airport,Zaporizhia,Ukraine
