DepartureAirportName,ArrivalAirportName,Duration,CompanyName,EconomyClassPrice,BusinessClassPrice,FirstClassPrice,WeekDaysOfFlight,DepartureHours,,
Almería International Airport,Alexander the Great International Airport,283,Pegasus Airlines,315,2845,3970,Monday Thursday,19:27 04:27 09:06,,
Almería International Airport,Alexander the Great International Airport,340,EasyJet,837,1820,4202,Monday Tuesday Thursday Friday,01:35 07:41 13:26,,
Almería International Airport,Alexander the Great International Airport,479,International Airlines Group,58,2534,3728,Monday Thursday Saturday Sunday,05:20 02:34 09:38,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,230,Azimuth,375,1094,2228,Monday Tuesday Thursday Friday Saturday Sunday,10:47 13:11 06:19,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,382,Luxair,868,1106,2053,Thursday Friday Sunday,07:15 06:42,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,393,EasyJet,417,1001,3637,Monday Thursday,18:51 00:53,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,404,Air Astana,489,1652,3881,Friday Saturday Sunday,04:45 11:37,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,259,Blue Air,423,1034,1632,Monday Tuesday Wednesday Thursday Friday Saturday Sunday,12:45 14:59 17:42,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,470,Finnair,590,982,2878,Wednesday Sunday,08:18 02:35 03:14,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,245,Royal Flight,137,2017,4104,Wednesday Friday,07:07,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,167,Sky Express,628,1935,3380,Wednesday,18:17 04:22,,
Budapest Liszt Ferenc International Airport,Alexander the Great International Airport,273,TAROM,281,2853,4004,Monday Tuesday Friday Sunday,17:46 06:39 19:18,,
Chania International Airport,Alexander the Great International Airport,396,Ryanair,484,1960,4397,Monday Tuesday Wednesday Thursday Friday Saturday,11:45 03:20,,
Chania International Airport,Alexander the Great International Airport,471,Norwegian Air Shuttle ASA,547,1438,3670,Monday Friday,06:18 10:29,,
Chania International Airport,Alexander the Great International Airport,253,Azimuth,477,803,3773,Wednesday Friday,13:17 03:12 02:49,,
Chania International Airport,Alexander the Great International Airport,118,International Airlines Group,917,2924,2486,Monday Tuesday Wednesday Thursday Saturday,17:48 13:49 16:15,,
Chania International Airport,Alexander the Great International Airport,233,Ural Airlines,243,1439,4048,Monday Tuesday Saturday Sunday,23:25 10:38 01:01,,
Chania International Airport,Alexander the Great International Airport,120,UTair Aviation,779,1393,2562,Monday Wednesday Thursday Sunday,20:52 17:54 12:05,,
Cuneo International Airport,Alexander the Great International Airport,308,Volotea,324,2237,2569,Monday Tuesday Thursday Saturday,09:53 12:57,,
Cuneo International Airport,Alexander the Great International Airport,504,Red Wings Airlines,804,1417,2483,Wednesday Thursday Friday Saturday Sunday,01:25 11:30,,
Cuneo International Airport,Alexander the Great International Airport,94,Azur Air,308,2366,4177,Monday Thursday Saturday Sunday,18:03 05:52 03:03,,
Cuneo International Airport,Alexander the Great International Airport,291,Enter Air,508,1182,3810,Monday Tuesday Friday Saturday Sunday,08:58 11:36 01:45,,
Cuneo International Airport,Alexander the Great International Airport,187,International Airlines Group,362,2221,1714,Thursday Saturday Sunday,04:45 16:42 07:03,,
Cuneo International Airport,Alexander the Great International Airport,344,SmartWings Group,995,2487,2658,Tuesday Wednesday Friday Saturday,12:50 23:36 11:54,,
Glasgow International Airport,Alexander the Great International Airport,201,Volotea,160,2464,3588,Monday Wednesday,16:49 13:07,,
Glasgow International Airport,Alexander the Great International Airport,129,Icelandair Group,180,2825,3502,Monday Thursday,18:20 06:30 03:49,,
Glasgow International Airport,Alexander the Great International Airport,113,Sky Express,742,2051,3017,Monday Wednesday Saturday,20:59 14:28 00:42,,
Karlovy Vary International Airport,Alexander the Great International Airport,134,Air Europa,987,1889,3983,Monday Wednesday Thursday Friday Sunday,14:58,,
Karlovy Vary International Airport,Alexander the Great International Airport,446,Ural Airlines,52,1295,2303,Sunday,01:42 01:06,,
Karlovy Vary International Airport,Alexander the Great International Airport,343,Aegean Airlines,104,2021,3735,Monday Wednesday Thursday Saturday Sunday,19:08 19:33,,
Karlovy Vary International Airport,Alexander the Great International Airport,102,Air Astana,95,1156,1335,Monday Tuesday Wednesday Thursday Saturday,17:00 17:10,,
Karlovy Vary International Airport,Alexander the Great International Airport,96,S7 Airlines,348,2459,1362,Tuesday Thursday Friday,02:43 17:24 13:35,,
Karlovy Vary International Airport,Alexander the Great International Airport,186,SkyUp,518,1548,2728,Monday Tuesday Friday Sunday,14:26,,
Kaunas International Airport,Alexander the Great International Airport,437,Smartavia,701,1063,3634,Wednesday Friday Sunday,18:48 01:37 07:31,,
Kaunas International Airport,Alexander the Great International Airport,474,Norwegian Air Shuttle ASA,115,1568,1490,Monday Wednesday Saturday Sunday,12:16 10:31 09:03,,
Kaunas International Airport,Alexander the Great International Airport,336,Aegean Airlines,354,768,1554,Monday Friday Sunday,11:40 03:24,,
Kaunas International Airport,Alexander the Great International Airport,261,Belavia,195,1572,1359,Monday Thursday Saturday,22:47 20:03 10:40,,
Kaunas International Airport,Alexander the Great International Airport,140,Finnair,258,1584,2956,Monday Wednesday Thursday Saturday Sunday,02:55 10:31 22:07,,
Kaunas International Airport,Alexander the Great International Airport,464,S7 Airlines,468,1839,3235,Monday Tuesday Wednesday Thursday,16:17 22:18,,
Kherson International Airport,Alexander the Great International Airport,88,NordStar,678,1308,4169,Wednesday Sunday,02:22 07:40,,
Kherson International Airport,Alexander the Great International Airport,424,Air Serbia,896,1411,2112,Wednesday,12:01 15:24,,
Kherson International Airport,Alexander the Great International Airport,118,Aeroflot Group,893,1316,2742,Monday Tuesday Thursday Friday Sunday,16:40 07:56,,
Kherson International Airport,Alexander the Great International Airport,319,Air France-KLM,468,2451,2798,Monday Tuesday Wednesday Saturday Sunday,04:53 18:41 22:20,,
Kherson International Airport,Alexander the Great International Airport,336,Icelandair Group,970,2942,4455,Monday Wednesday Sunday,06:44 13:43 13:13,,
Kherson International Airport,Alexander the Great International Airport,504,TAP Air Portugal,758,1573,3327,Monday Friday,01:53 08:39 06:16,,
Kraków John Paul II International Airport,Alexander the Great International Airport,121,Virgin Atlantic,141,2530,1376,Monday Tuesday Thursday Friday,06:06 01:50 23:33,,
Kraków John Paul II International Airport,Alexander the Great International Airport,171,Enter Air,896,1207,1753,Monday Wednesday Saturday,10:40 13:44 07:07,,
Kraków John Paul II International Airport,Alexander the Great International Airport,443,Finnair,724,925,2518,Monday Wednesday Friday Saturday Sunday,13:16 11:07,,
Kraków John Paul II International Airport,Alexander the Great International Airport,105,Ryanair,307,991,3622,Monday Tuesday Thursday Friday,04:02 07:42 08:18,,
Kraków John Paul II International Airport,Alexander the Great International Airport,84,Turkish Airlines,714,2784,2643,Tuesday Wednesday Friday Saturday Sunday,02:17 05:24 21:06,,
Kraków John Paul II International Airport,Alexander the Great International Airport,374,Ural Airlines,559,2456,3141,Monday Wednesday Friday Sunday,14:42 01:50,,
Naples International Airport,Alexander the Great International Airport,426,Azerbaijan Airlines,199,1870,4155,Wednesday Thursday Saturday,19:10,,
Naples International Airport,Alexander the Great International Airport,491,Bulgaria Air,294,847,4207,Wednesday Thursday Friday,21:54,,
Naples International Airport,Alexander the Great International Airport,154,Nordwind Airlines,114,2367,4174,Monday Thursday Sunday,12:32 20:52 23:16,,
Nizhny Novgorod Strigino International Airport,Alexander the Great International Airport,299,UTair Aviation,931,1000,2296,Tuesday Wednesday Friday Saturday Sunday,18:11 21:44 21:19,,
Nizhny Novgorod Strigino International Airport,Alexander the Great International Airport,325,EasyJet,307,1204,4222,Monday Thursday Friday Saturday Sunday,10:49 13:37 03:44,,
Nizhny Novgorod Strigino International Airport,Alexander the Great International Airport,432,AirBaltic,478,773,1981,Monday Tuesday Wednesday Thursday Sunday,21:11 09:20 12:46,,
Nizhny Novgorod Strigino International Airport,Alexander the Great International Airport,79,Azur Air,329,1864,3780,Tuesday Thursday Saturday,00:53 13:30 07:13,,
Nizhny Novgorod Strigino International Airport,Alexander the Great International Airport,232,TAP Air Portugal,674,772,2943,Thursday Sunday,19:16 23:41 11:44,,
Nizhny Novgorod Strigino International Airport,Alexander the Great International Airport,320,TUI Airways,151,2664,3645,Monday Wednesday Thursday Friday Saturday,01:51 21:38 15:06,,
Odessa International Airport,Alexander the Great International Airport,232,Finnair,505,1305,3035,Monday Wednesday Thursday Friday Sunday,00:19 23:49 15:26,,
Odessa International Airport,Alexander the Great International Airport,304,Pegasus Airlines,529,999,2474,Tuesday Wednesday Thursday,07:45 20:49 13:06,,
Odessa International Airport,Alexander the Great International Airport,500,Aeroflot Group,838,2827,2875,Monday Tuesday Wednesday Thursday Saturday Sunday,20:43 20:39,,
Odessa International Airport,Alexander the Great International Airport,229,I-Fly,466,1902,2103,Tuesday Friday Saturday,00:26 22:40,,
Odessa International Airport,Alexander the Great International Airport,148,Lufthansa Group,481,2205,3089,Monday Wednesday Thursday Friday Sunday,21:18 10:38 00:04,,
Odessa International Airport,Alexander the Great International Airport,63,Smartavia,254,2055,2797,Tuesday Thursday Friday Saturday Sunday,21:25 16:08 16:53,,
Odessa International Airport,Alexander the Great International Airport,224,TAP Air Portugal,587,2707,4254,Wednesday Thursday,00:55 00:12 23:13,,
Odessa International Airport,Alexander the Great International Airport,185,Turkish Airlines,245,1472,2357,Tuesday Thursday Friday Saturday Sunday,04:35 07:42 08:29,,
Odessa International Airport,Alexander the Great International Airport,437,Ural Airlines,571,1180,1818,Wednesday Thursday Friday Saturday,17:36 21:23 08:25,,
Palanga International Airport,Alexander the Great International Airport,204,Enter Air,439,2324,2765,Tuesday Wednesday,12:16 23:10 14:41,,
Palanga International Airport,Alexander the Great International Airport,404,Lufthansa Group,583,1169,3006,Tuesday Thursday Friday Saturday,05:16 13:42 01:06,,
Palanga International Airport,Alexander the Great International Airport,245,Air Malta,125,2604,2594,Monday Wednesday Saturday,22:12 09:04,,
Palanga International Airport,Alexander the Great International Airport,314,Bulgaria Air,374,2308,3457,Monday Tuesday Wednesday Friday,06:49 10:59 10:32,,
Palanga International Airport,Alexander the Great International Airport,186,I-Fly,348,2141,1832,Monday Wednesday Thursday Friday Saturday,05:19 06:59,,
Palanga International Airport,Alexander the Great International Airport,348,Ural Airlines,993,1940,2836,Monday Wednesday Thursday Friday,04:45 00:42 15:18,,
Pisa International Airport,Alexander the Great International Airport,135,Luxair,852,1356,3778,Saturday,14:29 03:45 23:19,,
Pisa International Airport,Alexander the Great International Airport,386,Pegas Fly,167,1222,2048,Monday Tuesday Thursday Saturday,13:59 00:29 13:09,,
Pisa International Airport,Alexander the Great International Airport,476,Icelandair Group,563,2627,3188,Monday Tuesday Thursday,16:27 16:57,,
Pisa International Airport,Alexander the Great International Airport,333,I-Fly,191,1379,1465,Tuesday Friday Sunday,18:32 10:39 15:24,,
